playername,winningpercentage,WAR
Jack Barry,0.574074074074074,20.6561554388148
Hal Chase,0.536363636363636,20.0251548551235
Hans Lobert,0.283720930232558,19.8667238864383
Buck Herzog,0.405088062622309,19.8342695135
George McBride,0.541353383458647,19.6695994388889
Mark Kotsay,0.340557275541796,19.6603343304691
Larry Bowa,0.491145218417946,19.0785033135617
Johnny Kling,0.307317073170732,18.7364500333457
Steve O'Neill,0.552665245202559,17.9653869065556
Bob O'Farrell,0.496621621621622,16.0961562313272
Billy Southworth,0.583628318584071,16.0116028808889
Casey Stengel,0.505513895015439,15.8689869662469
Bud Harrelson,0.532374100719424,15.682504955358
Bill Virdon,0.520080321285141,15.6127979131049
Ozzie Guillen,0.516528925619835,15.5733925650679
Dave Martinez,0.456916099773243,15.4275678724815
Muddy Ruel,0.393782383419689,15.2737041339198
Larry Parrish,0.445652173913043,15.0351092336235
Craig Counsell,0.528539659006672,14.7529399823457
Whitey Lockman,0.493975903614458,14.6697881421605
Bucky Harris,0.490005306916681,14.5148857582346
Phil Nevin,0.45136186770428,14.5083024691358
Jim Lefebvre,0.486013986013986,14.4265414168148
Heinie Wagner,0.331730769230769,14.0908255800926
Charlie Grimm,0.541916167664671,13.952063128679
Grady Hatton,0.424691358024691,13.8049411928457
Jake Stahl,0.484240687679083,13.7203779765864
Burleigh Grimes,0.433155080213904,13.6900534329815
Ted Lyons,0.424528301886792,13.6401640139568
Harry Lumley,0.351063829787234,13.554588685463
Ray Knight,0.476923076923077,13.3787461943148
Brad Ausmus,0.475247524752475,13.3708413435864
Bob Lemon,0.516741071428571,13.1313943284506
Dave Roberts,0.621769772905247,12.9949264869321
Lee Mazzilli,0.483271375464684,12.6950155208951
Bob Skinner,0.436363636363636,12.5699383341049
David Bell,0.467236467236467,12.2948515399938
Al Lopez,0.58057312988463,12.1837467312222
Walt Weiss,0.438080495356037,12.0678092353086
Ossie Vitt,0.557093425605536,11.8437696952099
Bob Shawkey,0.547738693467337,11.1227707958457
Cookie Lavagetto,0.411300919842313,11.059073781321
Ray Blades,0.551724137931034,10.8996259305185
George Gibson,0.542074363992172,10.7742686301543
Bucky Walters,0.394833948339483,10.6736691803333
George Moriarty,0.498901098901099,10.6625207524321
Lou Piniella,0.516363636363636,10.6334493039877
Art Howe,0.497366110623354,10.559266585
Wes Westrum,0.41743119266055,10.505158046179
Shano Collins,0.338078291814947,10.4450563732469
Bob Brenly,0.537800687285223,10.338846346321
Lee Magee,0.454022988505747,10.1848857253951
George Stovall,0.44350580781415,10.1073434972778
