GAMEID,Date,manager_name,team,win_loss
BOS197304160,04/16/1973,"""Eddie Kasko""",BOS,l
SFN199304160,04/16/1993,"""Bobby Cox""",ATL,l
BAL199604160,04/16/1996,"""Davey Johnson""",BAL,w
FLO199804160,04/16/1998,"""Jim Leyland""",FLO,w
SDN200204160,04/16/2002,"""Bruce Bochy""",SDN,l
CHN200404160,04/16/2004,"""Dave Miley""",CHN,l
DET200604160,04/16/2006,"""Eric Wedge""",CLE,l
WAS200704160,04/16/2007,"""Bobby Cox""",ATL,l
TBA200904160,04/16/2009,"""Joe Maddon""",TBA,l
TOR201504160,04/16/2015,"""Kevin Cash""",TBA,w
SEA201704160,04/16/2017,"""Scott Servais""",SEA,w
WAS201904160,04/16/2019,"""Dave Martinez""",WAS,l
TOR202204160,04/16/2022,"""Charlie Montoyo""",TOR,l
WS1190604170,04/17/1906,"""Jake Stahl""",WS1,w
DET190604170,04/17/1906,"""Fielder Jones""",CHA,w
DET190704170,04/17/1907,"""Fielder Jones""",CHA,w
CIN190804170,04/17/1908,"""John Ganzel""",CIN,l
DET191404170,04/17/1914,"""Branch Rickey""",SLA,w
WS1191504170,04/17/1915,"""Clark Griffith""",WS1,l
BSN194204170,04/17/1942,"""Mel Ott""",NY1,l
CIN196804170,04/17/1968,"""Dave Bristol""",CIN,w
CAL197004170,04/17/1970,"""Charlie Metro""",KCA,w
ATL197704170,04/17/1977,"""Dave Bristol""",ATL,w
MIN197704170,04/17/1977,"""Gene Mauch""",MIN,w
MIN198404170,04/17/1984,"""Billy Gardner""",MIN,l
TOR198604172,04/17/1986,"""Jimy Williams""",TOR,w
TOR198904170,04/17/1989,"""Dallas Green""",NYA,w
LAN198904170,04/17/1989,"""Tom Lasorda""",LAN,l
MON199204170,04/17/1992,"""Tom Runnells""",MON,l
FLO199404170,04/17/1994,"""Dusty Baker""",SFN,w
BOS199704170,04/17/1997,"""Mike Hargrove""",CLE,w
DET199704170,04/17/1997,"""Buddy Bell""",DET,l
TOR200104170,04/17/2001,"""Joe Torre""",NYA,l
SEA200104170,04/17/2001,"""Johnny Oates""",TEX,l
TEX200304170,04/17/2003,"""Mike Scioscia""",ANA,l
WAS200904170,04/17/2009,"""Manny Acta""",WAS,l
NYA201204170,04/17/2012,"""Ron Gardenhire""",MIN,l
BAL201304170,04/17/2013,"""Joe Maddon""",TBA,w
CHN201504170,04/17/2015,"""Joe Maddon""",CHN,l
CHA201904170,04/17/2019,"""Rick Renteria""",CHA,l
LAN201904170,04/17/2019,"""David Bell""",CIN,l
NYA190704180,04/18/1907,"""Clark Griffith""",NYA,w
PIT191204180,04/18/1912,"""Roger Bresnahan""",SLN,l
PTF191404180,04/18/1914,"""Bill Bradley""",BRF,w
DET193904180,04/18/1939,"""Jimmy Dykes""",CHA,l
BRO194204180,04/18/1942,"""Hans Lobert""",PHI,w
DET195104180,04/18/1951,"""Red Rolfe""",DET,l
CHN195404180,04/18/1954,"""Eddie Stanky""",SLN,w
SLN195504180,04/18/1955,"""Birdie Tebbetts""",CIN,w
DET195704180,04/18/1957,"""Kerby Farrell""",CLE,w
CHN195804180,04/18/1958,"""Fred Hutchinson""",SLN,l
CHA197104181,04/18/1971,"""Chuck Tanner""",CHA,l
BAL197204180,04/18/1972,"""Billy Martin""",DET,w
SDN197204180,04/18/1972,"""Preston Gomez""",SDN,l
SEA198004182,04/18/1980,"""Darrell Johnson""",SEA,w
TOR198504180,04/18/1985,"""Doug Rader""",TEX,l
BAL198704180,04/18/1987,"""Pat Corrales""",CLE,l
CIN199304180,04/18/1993,"""Jeff Torborg""",NYN,l
MIL199904180,04/18/1999,"""Phil Garner""",MIL,l
KCA199904180,04/18/1999,"""Tony Muser""",KCA,l
MIN200104180,04/18/2001,"""Tony Muser""",KCA,l
ATL200404180,04/18/2004,"""Bobby Cox""",ATL,w
BOS200504180,04/18/2005,"""John Gibbons""",TOR,l
MIN200604180,04/18/2006,"""Ron Gardenhire""",MIN,l
BAL201104180,04/18/2011,"""Ron Gardenhire""",MIN,w
WAS201904180,04/18/2019,"""Bruce Bochy""",SFN,l
BOS190204190,04/19/1902,"""John McGraw""",BLA,l
CIN190304190,04/19/1903,"""Joe Kelley""",CIN,l
BOS191004192,04/19/1910,"""Jimmy McAleer""",WS1,l
NY1191204190,04/19/1912,"""John McGraw""",NY1,w
BOS192204192,04/19/1922,"""Miller Huggins""",NYA,w
CHN194004190,04/19/1940,"""Gabby Hartnett""",CHN,w
NYA194004190,04/19/1940,"""Bucky Harris""",WS1,l
BAL196004190,04/19/1960,"""Paul Richards""",BAL,w
CHN196204190,04/19/1962,"""Harry Craft""",HOU,w
BAL196304190,04/19/1963,"""Birdie Tebbetts""",CLE,l
MIN197104190,04/19/1971,"""Bob Lemon""",KCA,l
OAK197204192,04/19/1972,"""Dick Williams""",OAK,w
BOS197404190,04/19/1974,"""Ken Aspromonte""",CLE,l
TEX197404190,04/19/1974,"""Frank Quilici""",MIN,l
CAL197604190,04/19/1976,"""Earl Weaver""",BAL,l
TOR198104190,04/19/1981,"""Bobby Mattick""",TOR,w
CHA198504190,04/19/1985,"""John McNamara""",BOS,l
CHN198704190,04/19/1987,"""Gene Michael""",CHN,l
SDN199404190,04/19/1994,"""Dallas Green""",NYN,w
NYN199704190,04/19/1997,"""Jim Riggleman""",CHN,l
MIN200204190,04/19/2002,"""Charlie Manuel""",CLE,l
HOU200804190,04/19/2008,"""Cecil Cooper""",HOU,l
OAK201104190,04/19/2011,"""Terry Francona""",BOS,l
MIL201304190,04/19/2013,"""Dale Sveum""",CHN,l
KCA201504190,04/19/2015,"""Ned Yost""",KCA,w
CHN201504190,04/19/2015,"""Buddy Black""",SDN,w
SDN201604190,04/19/2016,"""Andy Green""",SDN,w
TBA201704190,04/19/2017,"""Kevin Cash""",TBA,w
OAK201704190,04/19/2017,"""Jeff Banister""",TEX,l
DET201904190,04/19/2019,"""Ron Gardenhire""",DET,l
OAK202304190,04/19/2023,"""Mark Kotsay""",OAK,l
NYA202304190,04/19/2023,"""Phil Nevin""",ANA,l
CIN202304190,04/19/2023,"""David Bell""",CIN,l
CIN190404200,04/20/1904,"""Joe Kelley""",CIN,w
NY1191204200,04/20/1912,"""Bill Dahlen""",BRO,l
WS1191204200,04/20/1912,"""Clark Griffith""",WS1,l
SLA191204200,04/20/1912,"""Nixey Callahan""",CHA,t
NY1191504200,04/20/1915,"""John McGraw""",NY1,l
BUF191504200,04/20/1915,"""Lee Magee""",BRF,l
PIT191604200,04/20/1916,"""Nixey Callahan""",PIT,l
BSN192104200,04/20/1921,"""Fred Mitchell""",BSN,l
NYA192204200,04/20/1922,"""Miller Huggins""",NYA,w
SLN192404200,04/20/1924,"""Bill McKechnie""",PIT,l
PIT193204200,04/20/1932,"""George Gibson""",PIT,w
SLN195104200,04/20/1951,"""Frankie Frisch""",CHN,l
SLA195204202,04/20/1952,"""Paul Richards""",CHA,w
DET195404200,04/20/1954,"""Paul Richards""",CHA,w
NYA195504200,04/20/1955,"""Paul Richards""",BAL,w
MLN196004200,04/20/1960,"""Fred Hutchinson""",CIN,w
PIT196304200,04/20/1963,"""Fred Hutchinson""",CIN,l
CAL196804200,04/20/1968,"""Bill Rigney""",CAL,l
TEX197404200,04/20/1974,"""Frank Quilici""",MIN,l
SLN197604200,04/20/1976,"""Red Schoendienst""",SLN,l
CAL198504200,04/20/1985,"""Chuck Cottier""",SEA,w
NYA198704200,04/20/1987,"""Sparky Anderson""",DET,l
TOR198804200,04/20/1988,"""John Wathan""",KCA,l
CHA199704200,04/20/1997,"""Terry Bevington""",CHA,w
SLN200004200,04/20/2000,"""Bruce Bochy""",SDN,l
SLN200304200,04/20/2003,"""Tony LaRussa""",SLN,l
MIN200304200,04/20/2003,"""Ron Gardenhire""",MIN,l
MIL200604200,04/20/2006,"""Jerry Narron""",CIN,w
COL201304200,04/20/2013,"""Kirk Gibson""",ARI,l
MIN201704200,04/20/2017,"""Paul Molitor""",MIN,l
NYA201904200,04/20/2019,"""Aaron Boone""",NYA,w
CHN202104200,04/20/2021,"""Luis Rojas""",NYN,l
PHA190604210,04/21/1906,"""Clark Griffith""",NYA,l
CIN191304210,04/21/1913,"""Johnny Evers""",CHN,w
DET191404210,04/21/1914,"""Joe Birmingham""",CLE,l
NY1192704210,04/21/1927,"""Stuffy McInnis""",PHI,w
BOS195204210,04/21/1952,"""Lou Boudreau""",BOS,l
CIN195404210,04/21/1954,"""Eddie Stanky""",SLN,w
CHA195704210,04/21/1957,"""Lou Boudreau""",KC1,l
PHI196304211,04/21/1963,"""Johnny Keane""",SLN,l
CHN196404210,04/21/1964,"""Bob Kennedy""",CHN,l
LAN196504210,04/21/1965,"""Casey Stengel""",NYN,l
CAL196604210,04/21/1966,"""Bill Rigney""",CAL,l
CHN196704210,04/21/1967,"""Harry Walker""",PIT,w
CAL197104210,04/21/1971,"""Dick Williams""",OAK,w
CIN197304210,04/21/1973,"""Sparky Anderson""",CIN,l
BAL197404212,04/21/1974,"""Bill Virdon""",NYA,w
BAL197904210,04/21/1979,"""Earl Weaver""",BAL,w
MIL198004210,04/21/1980,"""Buck Rodgers""",MIL,w
DET198404210,04/21/1984,"""Tony LaRussa""",CHA,l
TEX198704210,04/21/1987,"""Cal Ripken""",BAL,l
